Timestamp,Current task,Current mode,Current score,errors,PosX,PosY,PosZ,RotX,RotY,RotZ,Grip pressed,Trigger pressed,Trigger axis,Grabbing object
0,1,3,0,0,0,0,0,0,0,0,False,False,0,False
0.02,1,3,0,0,-0.017,0,0.027,0,0,0,False,False,0,False
0.2072998,1,3,0,0,-0.017,0,0.027,0,0,0,False,False,0,False
0.241729,1,3,0,0,-0.2801051,1.141937,0.4410251,0.3196232,-0.9274063,-0.07571775,False,False,0,False
0.2539383,1,3,0,0,-0.2807927,1.142331,0.4414604,0.3199572,-0.9270633,-0.07788,False,False,0,False
0.2687439,1,3,0,0,-0.2822156,1.143232,0.4422548,0.3212924,-0.9260297,-0.08181325,False,False,0,False
0.2794905,1,3,0,0,-0.2827704,1.143455,0.4424894,0.3223719,-0.9253916,-0.08337429,False,False,0,False
0.3006487,1,3,0,0,-0.2848685,1.142965,0.4433532,0.326536,-0.9229286,-0.08742979,False,False,0,False
0.3228146,1,3,0,0,-0.2855859,1.141461,0.4434593,0.3268544,-0.9224485,-0.08601748,False,False,0,False
0.6561479,1,3,0,0,-0.1603768,1.160406,0.4005674,-0.3137142,0.945778,0.0841848,False,False,0,False
0.6781861,1,3,0,0,-0.1512272,1.159997,0.4015743,-0.3187731,0.9442994,0.08149124,False,False,0,False
0.6910993,1,3,0,0,-0.1484312,1.159776,0.40198,-0.324717,0.9424022,0.07980393,False,False,0,False
0.7008288,1,3,0,0,-0.1458065,1.15946,0.402504,-0.3303809,0.940543,0.07825735,False,False,0,False
0.7221884,1,3,0,0,-0.1372884,1.159055,0.4041705,-0.3390609,0.9376451,0.07455639,False,False,0,False
0.7445215,1,3,0,0,-0.1348488,1.159051,0.4052272,-0.3373719,0.9383041,0.07324269,False,False,0,False
0.7557998,1,3,0,0,-0.1322716,1.159028,0.4059976,-0.3387499,0.9378151,0.07239717,False,False,0,False
0.7679865,1,3,0,0,-0.1297043,1.159303,0.4070147,-0.3397833,0.9373556,0.0723322,False,False,0,False
0.7779404,1,3,0,0,-0.1272653,1.159451,0.4079501,-0.3415803,0.936619,0.07205489,False,False,0,False
0.7891231,1,3,0,0,-0.1248304,1.159722,0.409299,-0.3442249,0.935509,0.07213943,False,False,0,False
0.8013033,1,3,0,0,-0.1226293,1.160151,0.4103391,-0.3475646,0.9341039,0.07238553,False,False,0,False
0.8116755,1,3,0,0,-0.1206258,1.160546,0.4116089,-0.3520549,0.9321746,0.0731627,False,False,0,False
0.8228002,1,3,0,0,-0.1188655,1.161211,0.4130624,-0.3566738,0.9301211,0.07428598,False,False,0,False
0.8357504,1,3,0,0,-0.1168386,1.161775,0.4143009,-0.3600039,0.9285134,0.07552464,False,False,0,False
0.8448142,1,3,0,0,-0.1150759,1.162438,0.4156368,-0.36178,0.9274216,0.07741029,False,False,0,False
0.8565661,1,3,0,0,-0.113387,1.163257,0.41699,-0.3622269,0.9267672,0.07980393,False,False,0,False
