Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
125.5978,1,1,2.083527,1.530243,2.463735,1.941021,1.887865,0,1,False,True,False
128.1978,1,2,1.825562,1.374413,2.495835,1.964174,1.135275,0,1,False,True,False
130.5533,1,3,1.631226,1.365311,2.255899,2.061141,0.1976077,0,1,False,True,False
132.9756,1,4,1.576294,1.406677,2.126816,2.039516,0.7775174,0,1,False,True,False
137.9978,1,5,4.084625,3.227066,2.757363,2.408942,0.3565303,0,2,True,True,True
140.9644,1,6,1.667389,1.376114,2.119006,2.026393,1.669655,0,1,False,True,False
143.62,1,7,1.675064,1.439575,2.129976,2.014513,1.057583,0,1,False,True,False
146.1978,1,8,1.673859,1.429916,2.127959,2.013456,0.5791005,0,1,False,True,False
148.7422,1,9,1.560257,1.397568,2.027147,1.979486,0.4889893,0,1,False,True,False
151.5756,1,10,1.869293,1.487686,2.447958,2.028977,0.6404372,0,1,False,True,False
153.9533,1,11,1.56604,1.39682,2.083036,2.002715,0.1576905,0,1,False,True,False
156.3533,1,12,1.385757,1.318604,2.023389,2.015387,1.569796,0,1,False,True,False
159.0867,1,13,1.6604,1.317886,2.438337,2.007892,1.071119,0,1,False,True,False
161.32,1,14,1.424438,1.395203,1.941158,1.935348,0.272254,0,1,False,True,False
163.9311,1,15,1.467438,1.373581,2.004085,1.988714,0.978785,0,1,False,True,False
184.2533,2,1,4.261429,3.820267,2.308447,2.027277,0.382089,0,1,True,True,True
188.2311,2,2,2.888763,2.827271,1.811663,1.803353,1.049334,0,1,True,True,True
191.7978,2,3,2.399704,2.055679,2.009007,1.817894,2.365452,0,1,True,True,True
194.92,2,4,2.215469,2.042816,1.785278,1.743296,0.8900803,0,1,True,True,True
198.5533,2,5,2.576492,2.044495,2.280029,1.769247,3.403413,0,1,True,True,True
207.4978,2,6,8.203934,5.707565,3.893126,2.817417,1.305347,0,7,True,True,True
210.9311,2,7,2.31012,2.101059,1.876034,1.751223,1.548892,0,1,True,True,True
214.5756,2,8,2.592239,2.558105,1.792962,1.788856,0.1355287,0,1,True,True,True
217.82,2,9,2.160919,1.910355,1.910158,1.716876,1.359406,0,1,True,True,True
224.1089,2,10,5.501755,2.9944,5.089153,1.931955,1.186697,0,2,True,True,True
228.6422,2,11,3.17662,2.993698,1.822954,1.793126,0.5691638,0,1,True,False,False
231.9644,2,12,2.175507,2.133072,1.701117,1.699231,0.8649872,0,1,True,False,False
239.72,2,13,6.669724,5.797302,5.738767,2.080927,1.698091,1,2,True,True,True
243.6644,2,14,2.593521,2.267471,1.706517,1.674387,2.277298,0,1,True,True,True
247.3089,2,15,2.35083,2.20015,1.670583,1.657314,0.2136437,0,1,True,True,True
257.2533,3,1,2.47673,2.333847,1.854054,1.825009,0.3707602,0,1,False,True,False
260.1978,3,2,1.824188,1.618561,1.73626,1.655727,0.7020755,0,1,False,True,False
263.1645,3,3,2.043091,1.697357,1.839622,1.580292,1.738336,0,1,True,True,True
265.9311,3,4,1.984467,1.719727,1.618461,1.548881,0.30648,0,1,False,True,False
268.7533,3,5,1.724213,1.575806,1.644692,1.574817,0.9627205,0,1,False,True,False
271.3867,3,6,1.708557,1.43985,1.69493,1.574273,1.213707,0,1,False,True,False
273.8978,3,7,1.617676,1.407043,1.716286,1.603454,1.149935,0,1,False,True,False
276.5422,3,8,1.703156,1.259735,1.935129,1.571485,1.276548,0,1,False,True,False
278.9533,3,9,1.703674,1.352203,1.874566,1.584458,1.069722,0,1,False,True,False
281.3311,3,10,1.601654,1.474884,1.692176,1.644025,0.8350248,0,1,False,True,False
283.9867,3,11,1.441956,1.406403,1.621963,1.619849,0.6710341,0,1,False,True,False
286.9644,3,12,1.884003,1.542419,1.914762,1.650286,0.4172347,0,1,False,True,False
289.8089,3,13,1.901581,1.607635,1.829354,1.681188,0.9687737,0,1,False,True,False
292.2422,3,14,1.486542,1.395111,1.649214,1.641473,0.5281809,0,1,False,True,False
294.8978,3,15,1.462219,1.306824,1.575669,1.566649,1.015911,0,1,False,True,False
302.0867,4,1,2.233063,1.911041,2.270365,2.118977,0.8698441,0,1,False,True,False
305.42,4,2,2.282288,1.765259,2.581364,1.992368,0.7224933,0,1,False,True,False
308.4756,4,3,2.254761,1.67572,2.821887,2.006871,1.215657,0,1,False,True,False
311.12,4,4,1.916473,1.686218,2.09566,2.014575,1.344369,0,1,False,True,False
314.1867,4,5,1.967651,1.765808,2.203515,2.128643,0.3249075,0,1,False,True,False
317.42,4,6,2.173431,1.753632,2.37625,2.061015,2.025236,0,1,False,True,False
320.0311,4,7,1.72464,1.509033,2.074785,2.004357,0.8760096,0,1,False,True,False
322.8867,4,8,1.786407,1.529572,2.160041,2.071744,0.8984195,0,1,False,True,False
325.4644,4,9,1.595123,1.498199,2.011745,1.997431,1.305026,0,1,False,True,False
328.3978,4,10,1.758331,1.485931,2.16912,1.948991,0.174785,0,1,False,True,False
331.2867,4,11,1.932587,1.452118,2.19478,1.967427,1.024363,0,1,False,True,False
334.2089,4,12,2.051636,1.787781,2.097324,2.054184,0.9294378,0,1,False,True,False
337.1867,4,13,1.900665,1.57431,2.353631,2.06059,0.8463315,0,1,False,True,False
339.72,4,14,1.719757,1.518524,2.036379,1.980051,1.50454,0,1,False,True,False
342.6978,4,15,1.927948,1.631744,2.031802,1.939022,0.2282857,0,1,False,True,False
