Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
59.00889,1,1,2.827011,2.63673,1.965589,1.885657,1.160797,0,1,True,False,False
62.98667,1,2,2.604946,2.5028,1.928692,1.910187,0.6572865,0,1,True,False,False
67.04222,1,3,2.650627,2.412758,2.046871,1.88926,1.210747,0,1,True,False,False
70.86445,1,4,2.630669,2.44735,1.886712,1.816942,0.7539716,0,1,True,False,False
75.34222,1,5,3.109001,2.300789,2.895948,1.81409,1.255956,0,1,True,False,False
78.67556,1,6,2.59893,2.355461,1.875291,1.799789,0.9618524,0,1,True,False,False
82.37556,1,7,2.445709,2.302231,1.851964,1.841412,0.3587646,0,1,True,False,False
86.28667,1,8,2.502922,2.334427,1.873095,1.835912,0.4284852,0,1,True,False,False
90.13111,1,9,2.538727,2.378868,1.878522,1.848001,0.1639213,0,1,True,False,False
94.29778,1,10,2.728889,2.5019,1.923682,1.838164,0.4007719,0,1,True,False,False
98.17556,1,11,2.439972,2.247482,1.875093,1.822886,0.7279861,0,1,True,False,False
102.2533,1,12,2.573204,2.321564,1.961953,1.831435,1.326374,0,1,True,False,False
106.3644,1,13,2.720612,2.402245,2.057885,1.859051,0.2673817,0,1,True,False,False
110.1311,1,14,2.466621,2.323799,1.897002,1.872235,0.2473715,0,1,True,False,False
113.82,1,15,2.301384,2.212151,1.87296,1.863597,0.782469,0,1,True,False,False
128.82,2,1,3.367058,3.061623,1.925644,1.832694,1.810134,0,1,True,False,False
132.5533,2,2,2.3311,2.144669,1.721833,1.689728,2.044091,0,1,True,False,False
136.4756,2,3,2.510406,2.188751,1.941609,1.70864,1.571882,0,1,True,False,False
139.7089,2,4,2.270813,2.055634,1.78363,1.75161,0.7655022,0,1,True,False,False
143.5311,2,5,2.518234,2.289749,1.774168,1.735553,0.6608012,0,1,True,False,False
147.2756,2,6,2.409088,2.255936,1.78733,1.758069,0.7827671,0,1,True,False,False
150.92,2,7,2.379303,2.313171,1.710307,1.704134,0.4426721,0,1,True,False,False
154.6311,2,8,2.459595,2.278564,1.842514,1.792298,1.131732,0,1,True,False,False
158.1089,2,9,2.453064,2.413101,1.771373,1.766119,1.325573,0,1,True,False,False
161.82,2,10,2.478302,2.335464,1.744523,1.725285,0.2947336,0,1,True,False,False
165.5756,2,11,2.446442,2.335449,1.730172,1.71533,1.129999,0,1,True,False,False
169.0645,2,12,2.271378,2.133148,1.734475,1.715007,0.9346859,0,1,True,False,False
172.5311,2,13,2.118729,2.088211,1.715266,1.714466,0.5891138,0,1,True,False,False
176.32,2,14,2.501419,2.401932,1.773116,1.757013,1.2738,0,1,True,False,False
180.2978,2,15,2.759583,2.71492,1.712698,1.70867,0.2132318,0,1,True,False,False
193.0645,3,1,2.526321,2.222794,1.920287,1.715361,0.9993401,0,1,True,False,False
196.9978,3,2,2.761734,2.71521,1.803272,1.798712,0.1388505,0,1,True,False,False
201.3089,3,3,2.650299,2.602631,1.761044,1.757692,0.9262423,0,1,True,False,False
205.4867,3,4,2.817566,2.614685,1.811641,1.741392,1.037641,0,1,True,False,False
209.4867,3,5,2.717712,2.513657,1.795529,1.739744,0.5059022,0,1,True,False,False
213.2422,3,6,2.486359,2.312271,1.754256,1.728993,0.5458005,0,1,True,False,False
217.1978,3,7,2.521225,2.400879,1.730762,1.724874,0.6508812,0,1,True,False,False
221.52,3,8,2.733337,2.514252,1.784926,1.734469,0.8355303,0,1,True,False,False
225.8645,3,9,3.122681,3.11557,1.808704,1.808704,0.7906874,0,1,True,False,False
230.5756,3,10,2.796509,2.502411,1.743612,1.669217,2.000107,0,1,True,False,False
235.7422,3,11,3.639999,3.395737,1.774356,1.7463,1.067461,0,1,True,False,False
240.0756,3,12,2.856979,2.736023,1.717154,1.706044,0.8951111,0,1,True,False,False
244.2089,3,13,2.802429,2.602737,1.735425,1.692671,0.07727606,0,1,True,False,False
248.2311,3,14,2.724838,2.672714,1.769839,1.764711,0.4466986,0,1,True,False,False
252.72,3,15,2.835098,2.69101,1.741041,1.729363,0.9400933,0,1,True,False,False
261.2089,4,1,2.709167,2.679962,1.907469,1.906099,0.2293084,0,1,True,False,False
265.7533,4,2,2.793213,2.598572,1.906793,1.874888,0.516761,0,1,True,False,False
269.8978,4,3,2.6745,2.669617,1.889462,1.889462,0.1824416,0,1,True,False,False
274.2756,4,4,2.761993,2.713043,1.879424,1.874622,1.392592,0,1,True,False,False
278.3867,4,5,2.640381,2.434509,1.918163,1.872545,0.5882057,0,1,True,False,False
282.3867,4,6,2.67511,2.56839,1.893615,1.881876,0.5172244,0,1,True,False,False
286.4644,4,7,2.674561,2.523499,1.939368,1.919495,0.8069659,0,1,True,False,False
290.52,4,8,2.676971,2.356934,2.049833,1.893207,0.5922012,0,1,True,False,False
294.2867,4,9,2.589844,2.312225,2.009371,1.885366,0.4716752,0,1,True,False,False
297.9533,4,10,2.525848,2.312988,1.960084,1.911019,1.486915,0,1,True,False,False
301.5645,4,11,2.427887,2.200836,1.975363,1.91899,0.1093539,0,1,True,False,False
305.6645,4,12,2.752106,2.278595,2.288271,1.914527,0.1785419,0,1,True,False,False
309.3867,4,13,2.576782,2.346832,2.011321,1.908176,1.188186,0,1,True,False,False
313.3644,4,14,2.71109,2.545807,1.895984,1.877766,0.6292351,0,1,True,False,False
318.4867,4,15,3.510376,2.82486,2.828141,1.960472,0.4141408,0,1,True,False,False
