Timestamp,Current task,Current mode,Current score,errors,PosX,PosY,PosZ,RotX,RotY,RotZ,Grip pressed,Trigger pressed,Trigger axis,Grabbing object
0,1,2,99,0,0,0,0,0,0,0,False,False,0,False
0.02,1,2,99,0,-0.017,0,0.027,0,0,0,False,False,0,False
0.2740219,1,2,99,0,-0.017,0,0.027,0,0,0,False,False,0,False
0.3129639,1,2,99,0,0.3052866,1.071225,-0.2104404,-0.06249499,0.133099,0.04637708,False,False,0,False
0.3242324,1,2,99,0,0.3013417,1.059762,-0.2152049,-0.04765169,0.1127397,0.05778569,False,False,0,False
0.330163,1,2,99,0,0.2988321,1.052668,-0.218827,-0.03675472,0.1039611,0.06181846,False,False,0,False
0.3411175,1,2,99,0,0.2976682,1.044848,-0.2223796,-0.0230037,0.0980157,0.06046265,False,False,0,False
0.3636029,1,2,99,0,0.2946744,1.021557,-0.2346758,0.01849839,0.0858499,0.05959008,False,False,0,False
0.3857523,1,2,99,0,0.2963273,1.010256,-0.2423491,0.03621684,0.09366126,0.05760529,False,False,0,False
0.5863149,1,2,99,0,0.288985,0.8705853,-0.3871157,0.2682976,0.102235,0.03897906,False,False,0,False
0.6064677,1,3,99,0,0.2887437,0.8592868,-0.4055263,0.294363,0.1033128,0.03956039,False,False,0,False
0.6129456,1,3,99,0,0.2886605,0.8550017,-0.4141726,0.3050692,0.1024411,0.04077952,False,False,0,False
0.620492,1,3,99,0,0.2885914,0.8507369,-0.4227216,0.3154227,0.1015987,0.04138724,False,False,0,False
0.6444472,1,3,99,0,0.2888019,0.8382294,-0.4472918,0.3458596,0.1011647,0.04151683,False,False,0,False
0.6657131,1,3,99,0,0.2895515,0.836543,-0.4528663,0.3525879,0.1027552,0.04334287,False,False,0,False
0.6763665,1,3,99,0,0.2901678,0.8342838,-0.4590048,0.3594582,0.1047962,0.04568986,False,False,0,False
0.6907955,1,3,99,0,0.2905607,0.8317298,-0.4657194,0.3671224,0.1061949,0.04776647,False,False,0,False
