Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
132.2533,1,1,2.091751,2.055038,1.8813,1.879386,0.8249589,0,1,False,True,False
136.62,1,2,2.68338,2.468781,1.954915,1.893073,1.762365,0,1,True,False,False
140.0422,1,3,2.217987,1.976944,2.056365,1.947702,1.858586,0,1,True,False,False
143.2422,1,4,2.156799,1.977356,2.008904,1.941828,2.279619,0,1,True,False,False
146.0311,1,5,1.672913,1.620163,1.868543,1.861025,1.25251,0,1,False,True,False
149.1644,1,6,2.002838,1.698364,2.115419,1.891782,1.174793,0,1,True,True,True
151.8978,1,7,1.876312,1.597565,2.143659,1.898797,0.4925447,0,1,False,True,False
156.7533,1,8,2.141037,1.486649,3.359756,1.884619,0.6491845,0,1,False,True,False
158.7756,1,9,1.717056,1.520569,2.186099,1.949518,0.7232915,0,1,False,True,False
161.5089,1,10,2.059647,1.541214,2.937055,1.939534,1.319925,0,1,False,True,False
165.9644,1,11,1.679062,1.530594,2.0383,1.922016,0.7302299,0,1,False,True,False
168.5311,1,12,1.664871,1.518707,2.038547,1.928404,0.8531761,0,1,False,True,False
171.0422,1,13,1.651093,1.507355,2.018651,1.943689,0.4837279,0,1,False,True,False
173.4311,1,14,1.483307,1.463272,1.96081,1.958422,0.7116681,0,1,False,True,False
176.0756,1,15,1.679794,1.483719,2.111002,1.929116,0.04824992,0,1,False,True,False
195.3089,2,1,2.939789,2.334091,3.040246,2.007241,1.565732,0,1,False,True,False
198.2533,2,2,1.997284,1.965652,1.815635,1.810697,1.808289,0,1,True,False,False
201.5533,2,3,2.114136,1.843689,1.90659,1.795482,1.07311,0,1,False,True,False
205.0645,2,4,2.307678,2.144836,1.999122,1.886824,0.9175528,0,1,True,False,False
207.9644,2,5,1.890503,1.733154,1.868087,1.786171,2.634273,0,1,False,True,False
212.8089,2,6,2.510391,2.165543,2.052784,1.803264,0.3668526,0,1,False,True,False
215.8867,2,7,2.082687,1.798843,1.994448,1.779542,1.107702,0,1,False,True,False
218.8978,2,8,2.133728,1.630829,2.675384,1.783033,0.5578025,0,1,False,True,False
221.6089,2,9,2.05249,1.653397,2.379848,1.796788,0.5002982,0,1,False,True,False
224.2867,2,10,2.090286,1.515594,3.020891,1.860962,1.999619,0,1,False,True,False
227.0978,2,11,2.403152,1.429916,3.554337,1.821283,0.954259,0,1,False,True,False
229.02,2,12,1.800934,1.575241,2.069946,1.844052,0.2130839,0,1,False,True,False
231.7645,2,13,2.032043,1.452133,2.859647,1.837104,0.4138731,0,1,False,True,False
234.8311,2,14,2.607803,1.385727,3.516853,1.765073,1.458707,0,1,False,True,False
237.0645,2,15,1.836624,1.608673,2.080121,1.870227,1.443602,0,1,False,True,False
248.32,3,1,2.48822,2.041962,2.351662,1.887588,2.127103,0,1,False,True,False
250.6644,3,2,1.551575,1.474655,1.798084,1.779197,2.002189,0,1,False,True,False
253.3533,3,3,1.794464,1.541473,2.10497,1.898597,1.431708,0,1,False,True,False
256.0867,3,4,1.936447,1.452225,2.492722,1.849181,0.6744665,0,1,False,True,False
258.6534,3,5,1.877808,1.407257,2.437409,1.79349,1.13969,0,1,False,True,False
261.2089,3,6,1.908875,1.351318,2.583465,1.821025,1.427387,0,1,False,True,False
264.3533,3,7,2.369446,1.370911,3.504095,1.782343,1.684848,0,1,False,True,False
267.2311,3,8,2.011078,1.452301,2.567755,1.819233,1.671228,0,1,False,True,False
269.7422,3,9,1.886414,1.641998,1.969836,1.816785,0.942876,0,1,False,True,False
272.5756,3,10,1.882507,1.66394,2.002989,1.846241,1.066055,0,1,False,True,False
275.7311,3,11,2.188354,1.719879,2.462636,1.882912,3.022584,0,1,False,True,False
278.5533,3,12,2.073883,1.564056,2.439021,1.822935,1.225423,0,1,False,True,False
281.6089,3,13,2.303436,1.586914,2.975407,1.810075,2.056776,0,1,False,True,False
285.0756,3,14,2.118683,1.318573,2.752547,1.771064,1.91231,0,1,False,True,False
287.8644,3,15,2.114105,1.753662,2.287662,1.838024,2.169377,0,1,False,True,False
293.7533,4,1,2.182373,1.898743,2.24538,2.064365,1.345119,0,1,False,True,False
296.6645,4,2,1.986084,1.796021,2.149962,2.065798,1.215399,0,1,False,True,False
299.5422,4,3,1.827637,1.585541,2.259171,1.992082,1.524437,0,1,False,True,False
301.9533,4,4,1.647583,1.452148,2.168107,2.033879,2.360232,0,1,False,True,False
304.52,4,5,1.768036,1.551605,2.189707,2.014593,1.343739,0,1,False,True,False
307.42,4,6,2.065491,1.318451,3.114819,1.944402,0.03576781,0,1,False,True,False
309.6756,4,7,1.595825,1.329376,2.003727,1.79623,1.987568,0,1,False,True,False
312.2533,4,8,1.448029,1.17276,2.076237,1.830477,0.638577,0,1,False,True,False
314.5645,4,9,1.569702,1.295624,2.180987,1.916869,1.6666,0,1,False,True,False
316.7978,4,10,1.422028,1.193604,2.054937,1.878973,1.493687,0,1,False,True,False
319.62,4,11,2.056427,1.194611,3.602697,1.921136,1.138952,0,1,False,True,False
321.7311,4,12,1.777832,1.418976,2.341876,1.942377,2.823634,0,1,False,True,False
323.9533,4,13,1.631683,1.518951,2.205725,2.175075,0.5872138,0,1,False,True,False
327.92,4,14,1.666138,1.339966,2.355735,1.934927,2.819213,0,1,False,True,False
330.3089,4,15,1.754578,1.497162,2.288924,2.026828,3.325651,0,1,False,True,False
