Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
62.94222,1,1,2.18639,1.888523,2.088472,1.878535,0,1,True,False,False
65.39778,1,2,1.670128,1.585785,1.875696,1.851821,0,1,True,False,False
67.73111,1,3,1.501106,1.284431,2.056109,1.837206,0,1,True,False,False
69.83112,1,4,1.50145,1.407394,1.888245,1.864996,0,1,True,False,False
72.50889,1,5,1.856445,1.653969,1.992861,1.849233,0,1,True,False,False
75.02,1,6,1.775154,1.361977,2.676158,1.859899,0,1,True,False,False
76.80889,1,7,1.386299,1.295547,1.869454,1.842825,0,1,True,False,False
79.47556,1,8,1.863602,1.396896,3.122133,1.865849,0,1,True,False,False
81.66444,1,9,1.907913,1.585472,2.3369,1.86982,0,1,True,False,False
84.52,1,10,2.328697,1.362961,3.756655,1.91424,0,1,True,False,False
86.83112,1,11,1.735413,1.362717,2.691556,1.917302,0,1,True,False,False
89.08667,1,12,1.812813,1.508034,2.437987,1.924306,0,1,True,False,False
91.45334,1,13,1.833656,1.295807,3.337435,1.886318,0,1,True,False,False
93.47556,1,14,1.73378,1.29583,3.028821,1.921897,0,1,True,False,False
95.74223,1,15,1.878029,1.407448,2.893877,1.860938,0,1,True,False,False
103.6867,2,1,1.987289,1.910591,1.753731,1.744148,0,1,True,False,False
106.0311,2,2,1.628807,1.508278,1.755869,1.746479,0,1,True,False,False
108.7645,2,3,2.071846,1.678566,2.658178,1.922923,0,1,True,False,False
110.9978,2,4,1.859123,1.564064,2.031234,1.775214,0,1,True,False,False
113.0089,2,5,1.524025,1.462906,1.805282,1.779071,0,1,True,False,False
115.6644,2,6,1.968437,1.463264,2.819648,1.75608,0,1,True,False,False
118.1422,2,7,2.222977,1.429443,2.931625,1.732175,0,1,True,False,False
126.4978,2,8,2.022522,1.719749,2.29566,1.767479,0,1,True,False,False
128.8533,2,9,1.96521,1.630814,2.242755,1.735702,0,1,True,False,False
131.12,2,10,1.898026,1.407394,2.803491,1.725166,0,1,True,False,False
133.1867,2,11,1.807648,1.551636,2.062175,1.723222,0,1,True,False,False
137.7311,2,12,4.107361,2.345032,4.973821,1.887808,0,2,True,False,False
140.3644,2,13,2.061142,1.463333,2.925649,1.756016,0,1,True,False,False
142.5645,2,14,1.859497,1.47522,2.37448,1.767649,0,1,True,False,False
148.7867,2,15,5.836777,7.228043,5.312663,4.471466,1,2,True,False,False
156.7311,3,1,2.069809,1.966599,1.78048,1.745285,0,1,True,False,False
159.6311,3,2,2.065475,1.664505,2.430555,1.732917,0,1,True,False,False
162.2533,3,3,2.195679,1.416962,2.825671,1.638296,0,1,True,False,False
164.5867,3,4,2.005524,1.686615,1.862334,1.647395,0,1,True,False,False
167.4089,3,5,2.247482,1.753204,2.658045,1.829446,0,1,True,False,False
169.2422,3,6,1.557007,1.419601,1.779727,1.766405,0,1,True,False,False
171.7867,3,7,1.799683,1.462845,2.266029,1.845008,0,1,True,False,False
174.3867,3,8,2.132751,1.665009,2.531755,1.853528,0,1,True,False,False
176.2978,3,9,1.541626,1.262299,2.017989,1.850774,0,1,True,False,False
178.5867,3,10,1.663055,1.228271,2.685391,2.07951,0,1,True,False,False
180.8978,3,11,1.963898,1.563019,2.347525,2.066875,0,1,True,False,False
182.8867,3,12,1.573242,1.38446,2.058765,1.916735,0,1,True,False,False
185.0978,3,13,1.717957,1.205582,2.893789,1.966287,0,1,True,False,False
187.8867,3,14,2.485855,1.64241,3.328398,1.86298,0,1,True,False,False
190.02,3,15,1.815323,1.452057,2.644282,1.70767,0,1,True,False,False
195.62,4,1,1.737671,1.609238,2.007275,1.972359,0,1,True,False,False
198.02,4,2,1.545807,1.362534,2.071942,1.900435,0,1,True,False,False
200.3756,4,3,1.645081,1.384949,2.294354,1.908265,0,1,True,False,False
204.6644,4,4,3.666306,1.284149,5.682969,1.953603,0,1,True,False,False
207.3978,4,5,1.440323,1.329117,2.000032,1.957842,0,1,True,False,False
211.9422,4,6,3.762222,1.709076,3.279054,2.008432,0,2,True,False,False
214.4089,4,7,1.839127,1.508118,2.392001,1.970778,0,1,True,False,False
217.22,4,8,2.036392,1.486099,3.303225,1.927251,0,1,True,False,False
219.6311,4,9,2.023224,1.709137,2.673272,2.010283,0,1,True,False,False
222.5422,4,10,2.186676,1.775558,2.707369,1.990853,0,1,True,False,False
224.9311,4,11,1.760727,1.529922,2.229658,1.992501,0,1,True,False,False
227.3311,4,12,1.670105,1.497375,2.053324,1.967173,0,1,True,False,False
229.8422,4,13,1.734421,1.473862,2.302446,1.962034,0,1,True,False,False
232.5867,4,14,1.999313,1.384949,3.528561,1.982136,0,1,True,False,False
234.8867,4,15,1.99855,1.730942,2.396943,2.000321,0,1,True,False,False
