Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
55.98667,1,1,2.092117,1.654202,2.227936,1.8562,0.4031172,0,1,True,True,True
58.58667,1,2,2.021725,1.842892,1.97506,1.935035,0.6543214,0,1,True,True,True
62.47556,1,3,1.744488,1.519493,2.014617,1.886154,0.8611919,0,1,True,True,True
64.94222,1,4,1.865219,1.686813,2.057209,1.995849,1.172745,0,1,True,False,False
67.85333,1,5,2.140182,1.843025,1.994678,1.96065,1.248979,0,2,True,True,True
70.56445,1,6,1.801987,1.563225,2.070587,1.943053,0.502337,0,1,True,False,False
73.70889,1,7,2.34333,1.99836,1.915976,1.889722,1.271792,0,2,True,True,True
76.98667,1,8,2.036209,1.843399,1.996301,1.934552,0.6041088,0,1,True,True,True
80.19778,1,9,2.365646,2.223289,1.976505,1.96395,0.672873,0,1,True,True,True
82.89778,1,10,1.803864,1.619766,1.988497,1.946099,0.1466117,0,1,True,True,True
86.10889,1,11,2.233376,1.977074,2.041558,1.947671,0.4076706,0,1,True,True,True
89.34222,1,12,2.394516,2.17852,2.008996,1.970646,0.6433451,0,1,True,True,True
92.06445,1,13,1.800163,1.753906,2.034054,2.029555,1.224457,0,1,True,True,True
95.86445,1,14,2.617271,1.653397,2.118994,2.039414,0.1693009,0,2,True,True,True
98.57556,1,15,1.787804,1.698143,2.017107,2.005907,0.4167179,0,1,True,True,True
109.2533,2,1,2.348,2.166901,1.785641,1.773508,2.196351,0,1,True,True,True
112.2756,2,2,2.198265,1.798927,2.260099,1.800491,1.112248,0,1,True,False,False
116.1533,2,3,3.395309,2.435608,2.39398,1.893757,0.2441814,0,2,True,True,True
119.0089,2,4,2.128563,2.043823,1.858481,1.853259,0.7209017,0,1,True,False,False
122.0756,2,5,2.190506,1.787727,2.155867,1.785479,0.3693857,0,1,True,False,False
125.0644,2,6,2.386986,2.323586,1.722649,1.713853,0.8175338,0,1,True,False,False
127.5867,2,7,1.83757,1.742638,1.730395,1.708638,0.6258252,0,1,True,False,False
130.32,2,8,2.013138,1.876541,1.828171,1.811446,0.2175776,0,1,True,True,True
132.7645,2,9,1.776367,1.585999,1.908529,1.730844,0.2181942,0,1,True,True,True
135.0311,2,10,1.719452,1.642487,1.716478,1.704364,0.2787303,0,1,True,True,True
137.92,2,11,2.241104,2.122269,1.833237,1.806612,0.05839268,0,1,True,True,True
140.72,2,12,2.192352,1.754608,2.73476,1.772418,0.9230074,0,1,True,True,True
143.0311,2,13,1.978775,1.842392,1.822173,1.774904,1.058009,0,1,True,True,True
145.5645,2,14,1.910126,1.809433,1.882022,1.839885,1.278022,0,1,True,True,True
148.0089,2,15,1.740845,1.630798,1.786366,1.758863,0.7010248,0,1,True,True,True
155.7533,3,1,3.509201,2.054932,3.050161,1.867687,1.035362,0,2,True,True,True
159.0867,3,2,2.609543,1.966583,2.582114,1.729909,1.444293,0,1,True,False,False
162.2311,3,3,2.648544,2.245789,2.052608,1.772606,1.48231,0,1,True,False,False
164.9867,3,4,2.186768,1.864899,1.995266,1.81176,0.5019773,0,1,True,True,True
168.2978,3,5,2.459305,1.867126,2.398717,1.621803,1.068867,0,1,True,False,False
173.0867,3,6,4.423096,2.870895,2.970589,2.350297,0.538026,0,2,True,True,True
176.2422,3,7,2.180466,1.996994,1.886543,1.823708,1.156185,0,1,True,False,False
179.5867,3,8,2.443527,2.028122,2.168504,1.726079,1.149039,0,1,True,True,True
182.3867,3,9,2.25116,1.675278,2.443079,1.814992,0.5735818,0,1,True,True,True
184.9756,3,10,2.226212,1.652618,2.414732,1.728429,1.042553,0,1,True,True,True
187.4644,3,11,2.112656,1.842789,1.900588,1.780414,0.5038561,0,1,True,True,True
190.2645,3,12,2.120453,1.787369,1.873492,1.735362,1.673731,0,1,True,True,True
193.1756,3,13,2.160812,1.709015,2.061082,1.67774,1.041108,0,1,True,True,True
196.2645,3,14,2.434601,1.675293,1.89256,1.764904,1.215881,0,2,True,True,True
199.1422,3,15,2.073456,1.977203,1.652975,1.63499,0.7914321,0,1,True,True,True
204.4089,4,1,1.864471,1.274246,3.140121,1.958795,0.1901892,0,1,False,True,False
206.4311,4,2,1.6409,1.240097,2.447764,2.031501,1.210698,0,1,False,True,False
208.7756,4,3,1.729218,1.318604,2.241321,2.140723,0.9951497,0,1,True,True,True
211.2978,4,4,1.849442,1.496735,2.409216,2.102215,1.088328,0,1,True,True,True
214.6978,4,5,2.758698,2.010696,2.362173,2.22065,1.609578,0,2,True,True,True
217.32,4,6,1.839935,1.79837,2.172387,2.170686,0.9711024,0,1,True,True,True
220.3422,4,7,2.002777,1.396408,2.407828,2.267133,1.2417,0,1,True,True,True
228.2422,4,8,7.009567,4.255707,10.34159,6.314178,0.6828603,1,2,True,True,True
231.4978,4,9,2.356995,2.133102,2.24944,2.216089,0.5864882,0,1,True,True,True
233.8867,4,10,1.573685,1.541504,2.27933,2.278052,0.1022114,0,1,True,True,True
236.72,4,11,1.659439,1.418396,2.295098,2.219691,0.8816469,0,1,False,True,False
239.4311,4,12,1.901749,1.619965,2.427877,2.287788,0.4448517,0,1,True,True,True
242.1867,4,13,2.031708,1.809448,2.283195,2.259251,1.523916,0,1,True,True,True
244.4422,4,14,1.495453,0.960495,2.317713,2.255833,2.611569,0,1,False,True,False
247.8645,4,15,1.879486,1.240601,2.439722,2.38094,2.644554,0,1,True,True,True
,,,2.24230963333333,1.839142,2.28357846666667,1.99961638333333,0.887033306333333,,,,,
