Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
47.70889,1,1,2.309887,1.720146,2.598873,1.992076,1.278648,0,1,False,True,False
50.58667,1,2,1.770218,1.576763,2.085542,1.987491,1.03145,0,1,False,True,False
53.85334,1,3,1.919819,1.608898,2.275577,1.95033,2.090784,0,1,False,True,False
56.56445,1,4,1.815796,1.207546,2.950118,1.7801,1.163321,0,1,False,True,False
59.14222,1,5,2.069023,1.284325,3.199438,1.753815,1.791816,0,1,False,True,False
61.04222,1,6,1.524368,1.14027,2.509685,1.863186,2.000784,0,1,False,True,False
63.63111,1,7,1.868069,1.207775,3.093042,1.821859,1.045113,0,1,False,True,False
65.45334,1,8,1.388687,1.206673,2.026031,1.885369,0.2130467,0,1,False,True,False
69.09778,1,9,1.481209,1.378326,1.894171,1.863299,2.522304,0,1,False,True,False
71.58667,1,10,1.612633,1.25071,2.35112,1.856173,1.300714,0,1,False,True,False
75.38667,1,11,1.93959,1.173576,3.28016,1.872635,0.7332843,0,1,False,True,False
77.60889,1,12,1.89415,1.250359,3.090396,1.905435,0.9272261,0,1,False,True,False
83.06445,1,13,4.992622,1.519028,7.347227,2.040187,1.387359,0,2,False,True,False
85.12,1,14,1.675835,1.16291,2.852215,1.923159,2.397266,0,1,False,True,False
89.02,1,15,1.867241,1.340546,2.479461,1.942157,0.8440095,0,1,False,True,False
117.3644,2,1,19.88626,12.5564,20.02459,6.996397,0.8452038,3,6,False,True,False
122.3756,2,2,3.003563,2.33757,2.16284,1.798315,1.480165,0,2,False,True,False
126.9867,2,3,3.25853,1.56382,4.086077,1.770263,1.466231,0,2,False,True,False
130.0756,2,4,2.136009,1.350945,2.907132,1.706773,2.641619,0,1,False,True,False
135.0867,2,5,4.076126,2.053528,4.104334,1.867727,1.446848,0,2,False,True,False
138.0756,2,6,1.836594,1.39917,2.307038,1.73122,1.331473,0,1,False,True,False
142.2089,2,7,3.187943,1.485489,3.919648,1.726812,1.414565,0,1,False,True,False
144.8644,2,8,2.169769,1.597183,2.715161,1.711474,2.118674,0,1,False,True,False
148.2533,2,9,2.52066,1.396408,3.317968,1.707612,2.725375,0,1,False,True,False
151.1867,2,10,2.68161,1.919952,3.048414,1.970696,1.08328,0,1,False,True,False
153.8533,2,11,2.165436,1.332077,2.817464,1.664314,0.8212138,0,1,False,True,False
157.1422,2,12,2.674149,1.463257,3.791996,1.65058,1.70449,0,1,False,True,False
160.32,2,13,2.010101,1.284927,2.848667,1.700115,0.9911249,0,1,False,True,False
163.3644,2,14,2.585205,1.295654,3.658728,1.753158,0.9920976,0,1,False,True,False
167.7089,2,15,3.019348,1.563599,4.414924,1.784628,1.739038,0,1,False,True,False
186.5311,3,1,11.06729,3.085052,13.50077,3.700617,1.697204,1,5,False,True,False
198.02,3,2,10.31548,5.685196,7.513844,4.168344,1.111056,1,5,False,True,False
202.0867,3,3,3.501572,1.865601,4.013876,2.005374,2.139825,0,2,False,True,False
205.3756,3,4,2.222488,1.429596,2.981546,1.757185,3.296395,0,1,False,True,False
208.2645,3,5,2.195862,1.40834,3.105552,1.825843,2.174467,0,1,False,True,False
218.9867,3,6,10.0811,2.381104,9.865136,2.24226,0.6221343,2,4,False,True,False
222.4533,3,7,2.366913,1.352356,3.688591,1.685148,1.068947,0,1,False,True,False
225.4311,3,8,2.583603,1.327286,4.027313,1.752493,0.8278639,0,1,False,True,False
228.52,3,9,2.608765,1.380569,3.951313,1.874235,0.7517871,0,1,False,True,False
231.4422,3,10,2.59726,1.385315,3.656441,1.810823,1.442791,0,1,False,True,False
234.5756,3,11,2.776398,1.446686,3.834587,1.693621,1.325575,0,1,False,True,False
237.4422,3,12,2.576614,1.473984,3.820434,1.6316,0.5453156,0,1,False,True,False
240.9867,3,13,3.171768,1.495239,4.021789,1.741674,1.343296,0,1,False,True,False
243.5756,3,14,2.288208,1.586823,3.102531,1.819534,2.208676,0,1,False,True,False
246.72,3,15,2.528061,1.574524,3.502002,1.922647,2.124157,0,1,False,True,False
254.9311,4,1,3.688278,1.340759,4.163825,1.896151,1.945009,0,1,False,True,False
259.0867,4,2,1.731842,1.138031,2.938559,1.823709,0.7844486,0,1,False,True,False
261.22,4,3,1.655243,1.161621,2.901797,1.916717,0.4975943,0,1,False,True,False
269.9644,4,4,8.243408,3.013275,12.76353,5.381741,1.369706,2,3,False,True,False
272.6089,4,5,2.409058,1.138275,4.08185,1.952218,1.89126,0,1,False,True,False
274.2978,4,6,1.428345,1.204712,2.091361,1.942567,1.296847,0,1,False,True,False
276.8422,4,7,1.571136,1.30484,2.520124,2.225885,1.888911,0,1,False,True,False
279.92,4,8,2.136383,1.294403,3.920732,2.230297,1.967617,0,1,False,True,False
282.32,4,9,1.990265,1.240265,3.728479,2.084404,2.608746,0,1,False,True,False
287.3533,4,10,4.654968,1.593689,6.407037,2.29799,2.158957,1,2,False,True,False
289.52,4,11,1.337311,1.216766,2.096779,2.052785,2.016523,0,1,False,True,False
292.0645,4,12,1.546936,1.361328,2.22039,2.071695,1.439082,0,1,False,True,False
294.5867,4,13,1.456024,1.262146,2.17954,2.013571,1.616033,0,1,False,True,False
296.9089,4,14,1.41037,1.195221,2.153323,1.967045,1.312141,0,1,False,True,False
299.92,4,15,1.93045,1.205994,3.326716,1.983664,0.7218454,0,1,False,True,False
