Timestamp Finished,Task,Glass#,Time till Score,Handling Time,Distance till Score,Handling Distance,Precision,Errors,Grabs,Loose Grip,Firm Grip,Varied Grip
36.30889,1,1,2.230217,2.111591,1.863878,1.848023,1.289179,0,1,True,False,False
39.92,1,2,2.322746,1.977108,2.200127,1.938741,0.7096829,0,1,True,False,False
44.60889,1,3,3.738441,3.238804,2.371782,2.048202,1.393499,0,1,True,False,False
48.62,1,4,2.980247,2.736069,2.141898,2.046961,0.6825995,0,1,True,False,False
52.80889,1,5,2.913433,2.524548,2.182965,2.022256,1.427927,0,1,True,False,False
56.25333,1,6,2.33733,2.168217,2.076249,2.022044,0.8057243,0,1,True,False,False
59.88667,1,7,2.272667,2.133198,1.986647,1.939003,0.7925335,0,1,True,False,False
64.14223,1,8,3.199421,2.948811,2.061517,2.004144,1.245611,0,1,True,False,False
67.75333,1,9,2.37674,2.312012,1.999325,1.98982,1.09728,0,1,True,False,False
71.62,1,10,2.378365,2.256279,1.977753,1.961862,0.644076,0,1,True,False,False
75.54222,1,11,2.592201,2.423866,2.043177,1.98562,1.445597,0,1,True,False,False
79.08667,1,12,2.294395,2.133148,1.948851,1.90218,0.8343694,0,1,True,False,False
82.45334,1,13,2.084175,1.930588,1.977957,1.938743,1.021468,0,1,True,False,False
85.70889,1,14,2.047394,1.899178,1.961011,1.911281,0.8201628,0,1,True,False,False
89.07556,1,15,2.173393,2.021088,1.963407,1.930569,0.879823,0,1,True,False,False
101.6422,2,1,2.832939,2.726715,1.753156,1.73306,2.3345,0,1,True,False,False
106.8644,2,2,4.155724,3.428818,2.245769,1.852899,2.608305,0,2,True,False,False
110.4089,2,3,2.350792,2.145096,1.823358,1.742874,0.9157561,0,1,True,False,False
113.22,2,4,1.989388,1.597336,1.939736,1.621014,3.129461,0,1,True,False,False
116.8422,2,5,2.964096,2.836914,1.729569,1.704693,1.428184,0,1,True,False,False
119.5756,2,6,1.754974,1.664474,1.772247,1.758057,0.5677277,0,1,True,False,False
122.62,2,7,2.006676,1.574661,2.278657,1.674177,1.960923,0,1,True,False,False
125.3422,2,8,2.227028,2.077576,1.902329,1.840659,1.55034,0,1,True,False,False
131.4533,2,9,2.417847,2.000168,2.30555,1.746282,1.064795,0,1,True,False,False
134.2089,2,10,2.045334,1.641632,2.213188,1.726863,0.6348102,0,1,True,False,False
136.7422,2,11,1.864838,1.586121,1.930909,1.673766,1.322856,0,1,True,False,False
139.6311,2,12,2.184586,1.809021,2.077885,1.669681,2.662482,0,1,True,False,False
142.42,2,13,1.991089,1.675629,1.967513,1.704419,1.247346,0,1,True,False,False
145.7533,2,14,2.53183,2.267136,1.929691,1.757511,2.069708,0,1,True,False,False
148.9867,2,15,2.258347,1.77597,2.240258,1.685857,1.863509,0,1,True,False,False
159.3533,3,1,2.748886,2.137085,2.20735,1.615284,0.441332,0,1,True,False,False
162.2645,3,2,2.182648,2.010193,1.63759,1.583465,0.7858118,0,1,True,False,False
165.9422,3,3,2.53212,1.887817,2.49798,1.648772,1.520576,0,1,True,False,False
168.4756,3,4,2.060669,1.709091,1.84869,1.577968,1.094541,0,1,True,False,False
171.4089,3,5,2.100876,1.708832,1.995641,1.566942,1.423368,0,1,True,False,False
174.5311,3,6,2.251907,1.66394,2.385976,1.594859,2.138097,0,1,True,False,False
176.7645,3,7,1.681824,1.56369,1.620454,1.581061,1.157042,0,1,True,False,False
180.2533,3,8,2.344543,1.697983,2.464494,1.562792,0.3122668,0,1,True,False,False
184.1978,3,9,3.273148,1.574799,3.711203,1.625103,2.528361,0,1,True,False,False
188.9644,3,10,2.46579,2.390244,1.704425,1.688451,0.6072513,0,1,True,False,False
192.32,3,11,2.112503,1.77507,1.834683,1.555705,1.199828,0,1,True,False,False
195.0422,3,12,1.908493,1.798126,1.61466,1.586122,1.740877,0,1,True,False,False
198.0756,3,13,2.093735,1.776138,1.841151,1.577289,0.8745484,0,1,True,False,False
201.6867,3,14,2.767136,2.546494,1.640217,1.591677,1.198594,0,1,True,False,False
205.5089,3,15,2.423615,1.932571,1.905163,1.563486,2.256816,0,1,True,False,False
212.8978,4,1,2.511841,2.42334,2.279041,2.270791,1.036224,0,1,True,False,False
216.9311,4,2,2.580566,2.457291,2.264531,2.23432,1.340939,0,1,True,False,False
220.8978,4,3,2.514847,2.222458,2.430563,2.249217,0.9139935,0,1,True,False,False
225.2089,4,4,3.095337,2.982468,2.385352,2.371752,0.5966161,0,1,True,False,False
230.32,4,5,3.314529,3.03833,2.275945,2.190187,1.384202,0,1,True,False,False
234.1422,4,6,2.54541,2.312592,2.359555,2.337487,1.370849,0,1,True,False,False
238.1533,4,7,2.691315,2.658279,2.309647,2.306816,1.84572,0,1,True,False,False
242.4422,4,8,2.746857,2.680817,2.170003,2.164707,0.7019104,0,1,True,False,False
246.5089,4,9,2.635696,2.389618,2.301894,2.172616,0.5845769,0,1,True,False,False
250.0867,4,10,2.494415,2.289429,2.278927,2.221187,0.5543662,0,1,True,False,False
253.9089,4,11,2.429337,2.110733,2.320607,2.173702,1.885308,0,1,True,False,False
257.5756,4,12,2.588272,2.490219,2.168734,2.160702,0.8852891,0,1,True,False,False
261.9867,4,13,2.878296,2.635773,2.28899,2.192858,0.3016672,0,1,True,False,False
265.9311,4,14,2.74408,2.555939,2.316224,2.268287,0.6768881,0,1,True,False,False
269.6534,4,15,2.468506,2.412262,2.157996,2.154111,0.9969387,0,1,True,False,False
